,policy,A.1 Total Costs,A.2 Total Costs,A.3 Total Costs,A.4 Total Costs,A.5 Total Costs,RfR Total Costs,Expected Evacuation Costs,,,,,,,,,,,,,,,,,,,,,
650,277,68139002.96,137529461.7,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
651,277,68139002.96,100538037.9,126101524.7,22258486.73,96519312.41,0,0,,,,,,,,,,,,,,,,,,,,,
652,277,165907113.6,90143923.55,126101524.7,22258486.73,310266038.2,0,0,,,,,,,,,,,,,,,,,,,,,
653,277,68139002.96,91236223.58,126101524.7,22258486.73,178738801.5,0,0,,,,,,,,,,,,,,,,,,,,,
654,277,68139002.96,90378189.55,126101524.7,22258486.73,111475436.5,0,0,,,,,,,,,,,,,,,,,,,,,
655,277,68139002.96,333159867.7,126101524.7,22258486.73,573091885.5,0,0,,,,,,,,,,,,,,,,,,,,,
656,277,68139002.96,100279541.7,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
657,277,68139002.96,90143923.55,126101524.7,22258486.73,95766891.4,0,0,,,,,,,,,,,,,,,,,,,,,
658,277,68139002.96,105461789.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
659,277,68139002.96,90143923.55,126101524.7,22258486.73,97707329.44,0,0,,,,,,,,,,,,,,,,,,,,,
660,277,68139002.96,112075919.1,126101524.7,66525788.36,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
661,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
662,277,68139002.96,90143923.55,126101524.7,22258486.73,104464866.9,0,0,,,,,,,,,,,,,,,,,,,,,
663,277,68139002.96,99743203.03,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
664,277,68139002.96,96808720.97,126101524.7,22258486.73,79196122.14,0,0,,,,,,,,,,,,,,,,,,,,,
665,277,68139002.96,105448126.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
666,277,68139002.96,103316195.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
667,277,68139002.96,221697641.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
668,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
669,277,68139002.96,91561057.98,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
670,277,68139002.96,180631267.9,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
671,277,68139002.96,188950383.4,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
672,277,68139002.96,110775554.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
673,277,68139002.96,117776169.2,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
674,277,68139002.96,99295618.49,126101524.7,22258486.73,62652583.74,0,0,,,,,,,,,,,,,,,,,,,,,
675,277,68139002.96,112617253.2,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
676,277,68139002.96,97997525.69,126101524.7,22258486.73,39786819.75,0,0,,,,,,,,,,,,,,,,,,,,,
677,277,68139002.96,90850527.98,126101524.7,22258486.73,90865062.02,0,0,,,,,,,,,,,,,,,,,,,,,
678,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
679,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
680,277,68139002.96,91558110.13,126101524.7,22258486.73,459447454.8,0,0,,,,,,,,,,,,,,,,,,,,,
681,277,68139002.96,91555574.52,126101524.7,22258486.73,109414075.2,0,0,,,,,,,,,,,,,,,,,,,,,
682,277,68139002.96,128409432.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
683,277,68139002.96,96896389.34,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
684,277,68139002.96,90143923.55,126101524.7,22258486.73,280488512.7,0,0,,,,,,,,,,,,,,,,,,,,,
685,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
686,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
687,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
688,277,68139002.96,97917537.02,126101524.7,22258486.73,119084020.3,0,0,,,,,,,,,,,,,,,,,,,,,
689,277,68139002.96,90296517.52,126101524.7,30099158.71,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
690,277,68139002.96,205364428.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
691,277,68139002.96,96979176.48,126101524.7,22258486.73,96140243.48,0,0,,,,,,,,,,,,,,,,,,,,,
692,277,68139002.96,90143923.55,126101524.7,22258486.73,91646676.14,0,0,,,,,,,,,,,,,,,,,,,,,
693,277,68139002.96,91225761.95,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
694,277,68139002.96,116166107.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
695,277,68139002.96,91569321.26,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
696,277,68139002.96,234352092.9,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
697,277,68139002.96,126925737.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
698,277,68139002.96,97948652.73,126101524.7,22258486.73,103810412.2,0,0,,,,,,,,,,,,,,,,,,,,,
699,277,68139002.96,90143923.55,126101524.7,22258486.73,42537223.09,0,0,,,,,,,,,,,,,,,,,,,,,
700,277,68139002.96,189388118.2,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
701,277,68139002.96,112259821.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
702,277,68139002.96,137456013.2,126101524.7,22258486.73,172005752.9,0,0,,,,,,,,,,,,,,,,,,,,,
703,277,68139002.96,103093666.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
704,277,68139002.96,117607584,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
705,277,68139002.96,90143923.55,126101524.7,22258486.73,111368010.8,0,0,,,,,,,,,,,,,,,,,,,,,
706,277,68139002.96,90143923.55,126101524.7,22258486.73,34691549.29,0,0,,,,,,,,,,,,,,,,,,,,,
707,277,166074062.5,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
708,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
709,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
710,277,68139002.96,90378189.55,126101524.7,22258486.73,125458931.5,0,0,,,,,,,,,,,,,,,,,,,,,
711,277,68139002.96,90143923.55,126101524.7,22258486.73,202716780.6,0,0,,,,,,,,,,,,,,,,,,,,,
712,277,68139002.96,127271261,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
713,277,68139002.96,96578349.77,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
714,277,68139002.96,91573930.97,126101524.7,22258486.73,276059994.9,0,0,,,,,,,,,,,,,,,,,,,,,
715,277,68139002.96,91016057.1,126101524.7,48785669.66,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
716,277,68139002.96,90143923.55,126101524.7,22258486.73,88905087.77,0,0,,,,,,,,,,,,,,,,,,,,,
717,277,68139002.96,99575497.41,126101524.7,22258486.73,90975579.29,0,0,,,,,,,,,,,,,,,,,,,,,
718,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
719,277,68139002.96,99846179.06,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
720,277,68139002.96,251684607.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
721,277,735495577.4,90143923.55,126101524.7,22258486.73,35151662.18,0,0,,,,,,,,,,,,,,,,,,,,,
722,277,68139002.96,184311005.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
723,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
724,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
725,277,68139002.96,90143923.55,126101524.7,29087791.22,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
726,277,68139002.96,90143923.55,126101524.7,24773887.74,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
727,277,68139002.96,90447729.33,126101524.7,22258486.73,44705607.9,0,0,,,,,,,,,,,,,,,,,,,,,
728,277,68139002.96,90143923.55,126101524.7,22258486.73,101790404.6,0,0,,,,,,,,,,,,,,,,,,,,,
729,277,68139002.96,725966689.2,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
730,277,68139002.96,100362838.3,126101524.7,22258486.73,296262428.9,0,0,,,,,,,,,,,,,,,,,,,,,
731,277,68139002.96,653920434,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
732,277,68139002.96,113980217,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
733,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
734,277,68139002.96,261138071.2,126101524.7,22258486.73,181098746.2,0,0,,,,,,,,,,,,,,,,,,,,,
735,277,68139002.96,727709207.9,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
736,277,68139002.96,101580121.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
737,277,68139002.96,90447015.91,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
738,277,68139002.96,90294815.92,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
739,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
740,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
741,277,68139002.96,90143923.55,126101524.7,22258486.73,107283042.1,0,0,,,,,,,,,,,,,,,,,,,,,
742,277,68139002.96,90143923.55,126101524.7,22258486.73,101324236.9,0,0,,,,,,,,,,,,,,,,,,,,,
743,277,68139002.96,90143923.55,126101524.7,33716770.36,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
744,277,68139002.96,91560719.94,126101524.7,30582559.63,232035787.1,0,0,,,,,,,,,,,,,,,,,,,,,
745,277,68139002.96,98701447.54,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
746,277,68139002.96,116192056.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
747,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
748,277,68139002.96,112053192.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
749,277,68139002.96,90143923.55,126101524.7,22258486.73,115622536,0,0,,,,,,,,,,,,,,,,,,,,,
750,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
751,277,68139002.96,91024488.97,126101524.7,22258486.73,40312692.87,0,0,,,,,,,,,,,,,,,,,,,,,
752,277,77555686.25,101121497.5,126101524.7,22258486.73,68696819.75,0,0,,,,,,,,,,,,,,,,,,,,,
753,277,68139002.96,90143923.55,126101524.7,22258486.73,97550030.79,0,0,,,,,,,,,,,,,,,,,,,,,
754,277,68139002.96,99924907.97,126101524.7,22258486.73,98620331.65,0,0,,,,,,,,,,,,,,,,,,,,,
755,277,68139002.96,97893592.63,126101524.7,22258486.73,395824950.4,0,0,,,,,,,,,,,,,,,,,,,,,
756,277,68139002.96,91549557.99,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
757,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
758,277,68139002.96,222568302.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
759,277,68139002.96,90143923.55,126101524.7,22258486.73,109413311,0,0,,,,,,,,,,,,,,,,,,,,,
760,277,68139002.96,90143923.55,126101524.7,22714106.41,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
761,277,68139002.96,104658793.3,126101524.7,31056871.77,34319267.3,0,0,,,,,,,,,,,,,,,,,,,,,
762,277,68139002.96,91016619.88,126101524.7,22258486.73,261145300.6,0,0,,,,,,,,,,,,,,,,,,,,,
763,277,68139002.96,90143923.55,126101524.7,22258486.73,41337567.22,0,0,,,,,,,,,,,,,,,,,,,,,
764,277,68139002.96,90378322.73,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
765,277,68139002.96,119315756.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
766,277,68139002.96,97961581.89,126101524.7,22258486.73,34591262.88,0,0,,,,,,,,,,,,,,,,,,,,,
767,277,68139002.96,146462529.4,126101524.7,22258486.73,170866296.8,0,0,,,,,,,,,,,,,,,,,,,,,
768,277,68139002.96,90143923.55,126101524.7,22258486.73,35031479.63,0,0,,,,,,,,,,,,,,,,,,,,,
769,277,68139002.96,105083731.9,126101524.7,22258486.73,86217699.14,0,0,,,,,,,,,,,,,,,,,,,,,
770,277,68139002.96,90143923.55,126101524.7,22258486.73,35463475.79,0,0,,,,,,,,,,,,,,,,,,,,,
771,277,68139002.96,90143923.55,126101524.7,30970388.29,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
772,277,68139002.96,123408714.7,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
773,277,68139002.96,110930294.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
774,277,68139002.96,90143923.55,126101524.7,22258486.73,101206134.7,0,0,,,,,,,,,,,,,,,,,,,,,
775,277,68139002.96,109429666.7,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
776,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
777,277,68139002.96,436837686.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
778,277,68139002.96,121982117.7,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
779,277,68139002.96,100327082.9,126101524.7,22258486.73,38658683.8,0,0,,,,,,,,,,,,,,,,,,,,,
780,277,68139002.96,90294014.93,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
781,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
782,277,68139002.96,90143923.55,126101524.7,22258486.73,42135086.63,0,0,,,,,,,,,,,,,,,,,,,,,
783,277,68139002.96,90143923.55,126101524.7,22258486.73,127226379.7,0,0,,,,,,,,,,,,,,,,,,,,,
784,277,68139002.96,90143923.55,126101524.7,22258486.73,169361814.3,0,0,,,,,,,,,,,,,,,,,,,,,
785,277,68139002.96,115984817.6,126101524.7,22258486.73,133073559.9,0,0,,,,,,,,,,,,,,,,,,,,,
786,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
787,277,68139002.96,116883724.7,126101524.7,22258486.73,36389141.13,0,0,,,,,,,,,,,,,,,,,,,,,
788,277,68139002.96,90143923.55,126101524.7,22258486.73,113482297.8,0,0,,,,,,,,,,,,,,,,,,,,,
789,277,68139002.96,122782261.9,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
790,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
791,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
792,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
793,277,68139002.96,90861272.63,138304857,22258486.73,268441809.7,0,0,,,,,,,,,,,,,,,,,,,,,
794,277,68139002.96,112836460.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
795,277,68139002.96,102789117.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
796,277,68139002.96,159128754.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
797,277,68139002.96,877063515.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
798,277,68139002.96,119103676.2,126101524.7,22258486.73,192824891.1,0,0,,,,,,,,,,,,,,,,,,,,,
799,277,68139002.96,90143923.55,126101524.7,24976998.84,40980338.38,0,0,,,,,,,,,,,,,,,,,,,,,
800,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
801,277,68139002.96,90445565.28,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
802,277,68139002.96,115411763.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
803,277,68139002.96,100551152.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
804,277,68139002.96,562019549.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
805,277,68139002.96,90143923.55,126101524.7,22258486.73,42137520.82,0,0,,,,,,,,,,,,,,,,,,,,,
806,277,68139002.96,98768550.79,126101524.7,22258486.73,179705054.3,0,0,,,,,,,,,,,,,,,,,,,,,
807,277,70415718.84,182610836.2,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
808,277,68139002.96,102928820.2,126101524.7,22258486.73,130452364.7,0,0,,,,,,,,,,,,,,,,,,,,,
809,277,68139002.96,90143923.55,126101524.7,22258486.73,130882320.2,0,0,,,,,,,,,,,,,,,,,,,,,
810,277,68139002.96,90143923.55,150176664.5,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
811,277,68139002.96,408718379.2,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
812,277,68139002.96,246431071.7,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
813,277,68139002.96,90143923.55,126101524.7,22258486.73,495129338.8,0,0,,,,,,,,,,,,,,,,,,,,,
814,277,68139002.96,482750910,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
815,277,68139002.96,119082466.7,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
816,277,68139002.96,90143923.55,126101524.7,22258486.73,106910112.2,0,0,,,,,,,,,,,,,,,,,,,,,
817,277,68139002.96,90143923.55,126101524.7,22258486.73,112884313.5,0,0,,,,,,,,,,,,,,,,,,,,,
818,277,68139002.96,99956236.85,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
819,277,68139002.96,90143923.55,126101524.7,22258486.73,133375707,0,0,,,,,,,,,,,,,,,,,,,,,
820,277,68139002.96,120289480.9,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
821,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
822,277,68139002.96,304356579.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
823,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
824,277,68139002.96,96964228.27,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
825,277,68139002.96,91017945.88,126101524.7,22258486.73,154815238.5,0,0,,,,,,,,,,,,,,,,,,,,,
826,277,68139002.96,96502261.59,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
827,277,68139002.96,101936129.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
828,277,68139002.96,123219300.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
829,277,68139002.96,96998964.69,126101524.7,22258486.73,96707123.71,0,0,,,,,,,,,,,,,,,,,,,,,
830,277,68139002.96,199447960.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
831,277,68139002.96,90375992.74,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
832,277,68139002.96,115601389.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
833,277,68139002.96,119348663.9,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
834,277,68139002.96,123008078.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
835,277,68139002.96,90327687.39,126101524.7,22258486.73,97684154.82,0,0,,,,,,,,,,,,,,,,,,,,,
836,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
837,277,68139002.96,91010497.4,126101524.7,22258486.73,87729329.27,0,0,,,,,,,,,,,,,,,,,,,,,
838,277,68139002.96,115750917.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
839,277,68139002.96,122276687.6,126101524.7,22325535.2,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
840,277,68139002.96,210510229.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
841,277,68139002.96,116274359.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
842,277,68139002.96,102904404.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
843,277,68139002.96,102828306.7,126101524.7,22258486.73,88659323.43,0,0,,,,,,,,,,,,,,,,,,,,,
844,277,68139002.96,90143923.55,126101524.7,22258486.73,252526468,0,0,,,,,,,,,,,,,,,,,,,,,
845,277,68139002.96,97884687.01,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
846,277,68139002.96,91566116.55,126101524.7,22258486.73,115430838,0,0,,,,,,,,,,,,,,,,,,,,,
847,277,68139002.96,99955759.74,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
848,277,68139002.96,90143923.55,126101524.7,22258486.73,197910965.5,0,0,,,,,,,,,,,,,,,,,,,,,
849,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
850,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
851,277,68139002.96,98433992.84,126101524.7,22258486.73,103282673.2,0,0,,,,,,,,,,,,,,,,,,,,,
852,277,68139002.96,98854257.09,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
853,277,68139002.96,118516856.3,126101524.7,22258486.73,170102296.5,0,0,,,,,,,,,,,,,,,,,,,,,
854,277,68139002.96,90143923.55,126101524.7,22258486.73,42073478.6,0,0,,,,,,,,,,,,,,,,,,,,,
855,277,68139002.96,120621486.4,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
856,277,68139002.96,375430016,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
857,277,68139002.96,114246400.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
858,277,68139002.96,115619615,126101524.7,22258486.73,38361750.87,0,0,,,,,,,,,,,,,,,,,,,,,
859,277,68139002.96,91578369.18,126101524.7,22258486.73,242154601.7,0,0,,,,,,,,,,,,,,,,,,,,,
860,277,68139002.96,90329745.91,126101524.7,22258486.73,40580116.05,0,0,,,,,,,,,,,,,,,,,,,,,
861,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
862,277,68139002.96,103314326.2,126101524.7,22258486.73,89641411.81,0,0,,,,,,,,,,,,,,,,,,,,,
863,277,68139002.96,91234221.81,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
864,277,68139002.96,798831329.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
865,277,68139002.96,90143923.55,126101524.7,73011355.84,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
866,277,68139002.96,120350340.5,126101524.7,22425856.43,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
867,277,68139002.96,117015636.7,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
868,277,68139002.96,238933982,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
869,277,68139002.96,180935613.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
870,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
871,277,68139002.96,114255727.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
872,277,68139002.96,170954324.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
873,277,68139002.96,90143923.55,126101524.7,22258486.73,41546136.9,0,0,,,,,,,,,,,,,,,,,,,,,
874,277,68139002.96,90143923.55,126101524.7,22258486.73,89555576.71,0,0,,,,,,,,,,,,,,,,,,,,,
875,277,68139002.96,127601821,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
876,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
877,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
878,277,68139002.96,90296340.75,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
879,277,68139002.96,112058003.9,126101524.7,22258486.73,349441295.9,0,0,,,,,,,,,,,,,,,,,,,,,
880,277,68139002.96,90143923.55,126101524.7,22258486.73,180855027.4,0,0,,,,,,,,,,,,,,,,,,,,,
881,277,68139002.96,264959935.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
882,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
883,277,68139002.96,134576531.9,126101524.7,22258486.73,528505508.8,0,0,,,,,,,,,,,,,,,,,,,,,
884,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
885,277,68139002.96,90143923.55,126101524.7,22258486.73,121010608,0,0,,,,,,,,,,,,,,,,,,,,,
