,policy,A.1 Total Costs,A.2 Total Costs,A.3 Total Costs,A.4 Total Costs,A.5 Total Costs,RfR Total Costs,Expected Evacuation Costs
60,277,81852499.10225567,91568304.17937168,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
61,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
62,277,68139002.95605196,90143923.5488522,126101524.65875304,22305761.998995326,181613202.12088248,0.0,0.0
63,277,175264619.27641886,90143923.5488522,126101524.65875304,22258486.725668453,209825540.487551,0.0,0.0
64,277,68139002.95605196,96591967.53866084,126101524.65875304,22258486.725668453,39921888.794236735,0.0,0.0
65,277,68139002.95605196,116041472.83571264,126101524.65875304,22258486.725668453,87270220.4029845,0.0,0.0
66,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,566550102.4182358,0.0,0.0
67,277,68139002.95605196,102146335.22650331,126101524.65875304,22258486.725668453,478809681.85017896,0.0,0.0
68,277,68139002.95605196,119116549.02942649,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
69,277,68139002.95605196,99887338.84300376,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
70,277,68139002.95605196,122220161.74467306,126101524.65875304,22258486.725668453,78744007.53384498,0.0,0.0
71,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,113215240.10905205,0.0,0.0
72,277,68139002.95605196,91560719.94139662,126101524.65875304,22258486.725668453,108503752.38174649,0.0,0.0
73,277,68139002.95605196,112254417.46617754,126101524.65875304,22258486.725668453,68761519.38878374,0.0,0.0
74,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,103970287.06673944,0.0,0.0
75,277,68139002.95605196,115816559.53090636,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
76,277,68139002.95605196,109385168.91685046,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
